title,link,snippet,displayLink
aai-institute/beyond-jupyter: Software design principles for ... - GitHub,https://github.com/aai-institute/beyond-jupyter,"Mar 15, 2024 ... The Beyond Jupyter project is a collection of resources for software design, with a specific focus on machine learning applications.",github.com
RyanJTalbot/MSDS: Master of Science degree in Data ... - GitHub,https://github.com/RyanJTalbot/MSDS,"Jun 24, 2023 ... Predicting Extreme Climate Behavior with Machine Learning - 23 hours ... Software Architecture Patterns for Big Data (1 credit); Applications of ...",github.com
awesome-software-architecture/docs/ai/ai.md at main · mehdihadeli ...,https://github.com/mehdihadeli/awesome-software-architecture/blob/main/docs/ai/ai.md,"Nov 15, 2024 ... ... Generative AI; louisfb01/start-machine-learning - A complete guide to start and improve in machine learning; HuangOwen/Awesome-LLM-Compression - Awesome LLM ...",github.com
msaroufim/ml-design-patterns: Software Architecture for ML ... - GitHub,https://github.com/msaroufim/ml-design-patterns,"Mar 11, 2022 ... Software Architecture for ML engineers. Contribute to msaroufim ... Machine Learning Design patterns. Pipeline. A pipeline is about processing ...",github.com
kimtth/software-architect-mindmap: Mindmap of ... - GitHub,https://github.com/kimtth/software-architect-mindmap,"May 15, 2024 ... About. Mindmap of 🗺️Software Architecture, Software engineering: An Overview of Software Terminologies and Concepts. Topics. aws machine-learning development ...",github.com
ModelSet · GitHub,https://github.com/modelset,"Mar 1, 2023 ... ... Machine Learning and Model-Driven Engineering. The dataset contains 5,466 Ecore models and 5,120 UML models, and is provided with a set of Java and Python ...",github.com
GitHub - ava-orange-education/Kickstart-Software-Design-Architecture,https://github.com/ava-orange-education/Kickstart-Software-Design-Architecture,"Sep 12, 2024 ... Mastering ChatGPT and Google Colab for Machine Learning ... The book highlights the significance of software architecture in building scalable, efficient, and ...",github.com
javabuddy/best-system-design-resources: A collection of ... - GitHub,https://github.com/javabuddy/best-system-design-resources,"May 29, 2024 ... Software Design Specialization on Coursera · Software Architecture 101 · Modern ... Machine Learning System Design Interview by Ali Aminian and Alex Xu ...",github.com
appliedAI Institute gGmbH · GitHub,https://github.com/aai-institute,"Sep 1, 2023 ... Software design principles for machine learning applications. Jupyter Notebook 359 24 · pyDVL pyDVL Public. pyDVL is a library of stable implementations of ...",github.com
kimtth/aosa_pdf: The Architecture of Open Source ... - GitHub,https://github.com/kimtth/aosa_pdf,"Apr 26, 2025 ... The Architecture of Open Source Applications Volume 1 & 2, 500 Lines or Less, Software Design by Example. (PDF) - kimtth ... Machine Learning A Probabilistic ...",github.com
ckaestne/seaibib: Software Engineering for AI/ML -- An ... - GitHub,https://github.com/ckaestne/seaibib,"May 15, 2022 ... ... NLP, pp. 12-23. 2019. Systematic analysis of mistakes of mistakes of ... ""An Empirical Study of Software Architecture for Machine Learning."" arXiv ...",github.com
ByteByteGoHq/system-design-101: Explain complex ... - GitHub,https://github.com/ByteByteGoHq/system-design-101,"Oct 16, 2023 ... AI and Machine Learning · 5 Functions to Merge Data with Pandas · Key Data Terms ... How does Visa make money? Software Architecture · Inter-Process ...",github.com
